GeoFips,GeoName,2018,2019,2020
998,United States (Metropolitan Portion),18415353716,19221826248,18820861741
10180,"Abilene, TX (Metropolitan Statistical Area)",7276717,7702741,8132377
10420,"Akron, OH (Metropolitan Statistical Area)",37070620,38419839,37059832
10500,"Albany, GA (Metropolitan Statistical Area)",5738808,6039200,6018211
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",4974680,5108617,5022852
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",62395895,66573271,65751078
10740,"Albuquerque, NM (Metropolitan Statistical Area)",43087650,45332260,45055535
10780,"Alexandria, LA (Metropolitan Statistical Area)",6247139,6370389,6268966
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",45374954,48131377,46741847
11020,"Altoona, PA (Metropolitan Statistical Area)",6039117,6312962,6130328
11100,"Amarillo, TX (Metropolitan Statistical Area)",13758372,14379268,14419528
11180,"Ames, IA (Metropolitan Statistical Area)",6610811,6842120,6875185
11260,"Anchorage, AK (Metropolitan Statistical Area)",26342495,26945314,25823682
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",24936024,26150423,25818964
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4408069,4666985,4574641
11540,"Appleton, WI (Metropolitan Statistical Area)",14470242,15181287,14854357
11700,"Asheville, NC (Metropolitan Statistical Area)",21175703,22505958,21847054
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",10392181,10707350,10476370
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",411660045,438936814,425443807
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",13815609,14557816,13114102
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",6139105,6538765,6641371
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",28024812,29318212,29526180
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",152851277,163889339,168435759
12540,"Bakersfield, CA (Metropolitan Statistical Area)",46923468,47506713,45185758
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",205653047,212887514,205810923
12620,"Bangor, ME (Metropolitan Statistical Area)",6645939,6955069,7011881
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",13546025,14325097,13676996
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",57916449,56021453,52787892
12980,"Battle Creek, MI (Metropolitan Statistical Area)",6506776,6629932,6592076
13020,"Bay City, MI (Metropolitan Statistical Area)",3680495,3674940,3721412
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",28083439,28063907,24464714
13220,"Beckley, WV (Metropolitan Statistical Area)",4146187,4332905,4133338
